Título,Año,Sinopsis,Críticas
Roma,2018,Cleo (Yalitza Aparicio) es una joven empleada doméstica que trabaja para una familia de clase media en la Ciudad de México durante los años 70. La película sigue su vida diaria y las relaciones que mantiene con su familia y con su comunidad.,"""Roma es una película hermosa y conmovedora que rinde homenaje a la vida de las empleadas domésticas en México. La cinematografía es impresionante y la actuación de Yalitza Aparicio es excepcional."""
La Casa de Papel,(2017-2021),Esta serie de televisión española sigue a un grupo de ladrones que planean un ambicioso atraco a la Fábrica Nacional de Moneda y Timbre. La serie se convirtió en un éxito internacional y se transmitió en todo el mundo a través de Netflix.,"""La Casa de Papel es una serie emocionante y adictiva que te mantendrá en vilo de principio a fin. Los personajes son complejos y están bien desarrollados, y la trama es inteligente y sorprendente."""
Y tu mamá también,2001,"Dos amigos adolescentes (Gael García Bernal y Diego Luna) se embarcan en un viaje por carretera con una mujer mayor (Maribel Verdú) que acaban de conocer. La película aborda temas como la amistad, la sexualidad y la mortalidad.","""Y tu mamá también es una película que se queda contigo mucho después de que termina. La dirección de Alfonso Cuarón es magistral, y la actuación de los tres protagonistas es excelente."""
El Laberinto del Fauno,2006,"Durante la posguerra española, Ofelia (Ivana Baquero) se muda a una zona rural con su madre y su padrastro, un capitán del ejército franquista. Allí, descubre un mundo fantástico poblado por criaturas mágicas.","""El Laberinto del Fauno es una película fascinante y emotiva que combina la realidad de la posguerra española con elementos de fantasía. La dirección de Guillermo del Toro es impresionante, y la actuación de Ivana Baquero es conmovedora."""
Amores perros,2000,"Tres historias se entrelazan en esta película mexicana: un hombre que se dedica a peleas de perros, un modelo que sufre un accidente automovilístico y una mujer que abandona a su esposo. La película explora temas como el amor, la traición y la violencia.","""Amores perros es una película intensa y conmovedora que te mantendrá pegado a la pantalla. La dirección de Alejandro González Iñárritu es magistral, y la actuación de los actores es impresionante."""
Águila Roja ,(2009-2016),Esta serie de televisión española sigue las aventuras de un justiciero enmascarado en el siglo XVII. La serie fue criticada por su falta de precisión histórica y su trama predecible.,"""Águila Roja es una serie aburrida y poco interesante que no logra capturar la época histórica en la que se desarrolla. La actuación es mediocre y la trama es predecible y poco emocionante."""
Toc Toc,2017,"En esta comedia española, un grupo de personas con trastornos obsesivo-compulsivos se encuentran en la sala de espera de un psiquiatra. La película fue criticada por sus chistes repetitivos y su falta de originalidad.","""Toc Toc es una película aburrida y poco original que abusa de los mismos chistes una y otra vez. Los personajes son estereotipados y la trama es predecible y sin sentido."""
El Bar,2017,Un grupo de personas quedan atrapadas en un bar después de que Madrid sufre un apagón. La película fue criticada por su falta de coherencia y su trama absurda.,"""El Bar es una película ridícula y sin sentido que no logra crear una atmósfera de tensión o suspense. La actuación es mediocre y la trama es absurda e inverosímil."""
Torrente: El brazo tonto de la ley,1998,"En esta comedia española, un policía corrupto (interpretado por Santiago Segura) intenta resolver un caso de asesinato. La película fue criticada por sus chistes ofensivos y su falta de gracia.","""Torrente es una película vulgar y ofensiva que abusa de los estereotipos y los chistes fáciles. La actuación es pobre y la trama es incoherente e inconsistente."""
El Incidente,2014,"En esta película de terror mexicana, un grupo de personas quedan atrapadas en un ascensor y comienzan a experimentar fenómenos paranormales. La película fue criticada por su falta de originalidad y su trama predecible.","""El Incidente es una película aburrida y sin sustos que no logra crear una atmósfera de miedo o tensión. La actuación es mediocre y la trama es predecible y poco emocionante."""
